go.id	term
GO:2000884	glucomannan catabolic process
GO:0051250	negative regulation of lymphocyte activation
GO:0051251	positive regulation of lymphocyte activation
GO:0075220	positive regulation of zoospore encystment on host
GO:0051254	positive regulation of RNA metabolic process
GO:0075221	negative regulation of zoospore encystment on host
GO:0051255	spindle midzone assembly
GO:0075222	sporangium germination
GO:0051252	regulation of RNA metabolic process
GO:0075223	regulation of sporangium germination
GO:0051253	negative regulation of RNA metabolic process
GO:0075224	positive regulation of sporangium germination
GO:0075214	spore encystment
GO:0075215	modulation of spore encystment on host
GO:0075216	positive regulation of spore encystment on host
GO:0075217	negative regulation of spore encystment on host
GO:0075218	zoospore encystment on host
GO:0075219	modulation of zoospore encystment on host
GO:2000897	amylopectin catabolic process
GO:2000899	xyloglucan catabolic process
GO:1905443	regulation of clathrin coat assembly
GO:2000893	cellotriose metabolic process
GO:2000894	cellotriose catabolic process
GO:2000895	hemicellulose catabolic process
GO:0051261	protein depolymerization
GO:0051262	protein tetramerization
GO:0051260	protein homooligomerization
GO:0075210	suppression by symbiont of host cAMP-mediated signal transduction
GO:0051263	obsolete microcin E492 biosynthetic process by siderophore ester modification of peptidyl-serine
GO:0075213	obsolete negative regulation of transmembrane receptor-mediated cAMP signal transduction in response to host
GO:0075247	aeciospore formation
GO:0075248	regulation of aeciospore formation
GO:2000829	negative regulation of parathyroid hormone secretion
GO:0051278	fungal-type cell wall polysaccharide biosynthetic process
GO:0075249	positive regulation of aeciospore formation
GO:0051279	regulation of release of sequestered calcium ion into cytosol
GO:1905450	negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis
GO:1905451	positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis
GO:1905452	obsolete canonical Wnt signaling pathway involved in regulation of stem cell proliferation
GO:1905453	regulation of myeloid progenitor cell differentiation
GO:1905454	negative regulation of myeloid progenitor cell differentiation
GO:1905444	negative regulation of clathrin coat assembly
GO:1905446	regulation of mitochondrial ATP synthesis coupled electron transport
GO:1905447	negative regulation of mitochondrial ATP synthesis coupled electron transport
GO:1905448	positive regulation of mitochondrial ATP synthesis coupled electron transport
GO:1905449	regulation of Fc-gamma receptor signaling pathway involved in phagocytosis
GO:0051273	beta-glucan metabolic process
GO:0075240	regulation of zoospore formation
GO:0075241	positive regulation of zoospore formation
GO:0051270	obsolete regulation of cellular component movement
GO:0075242	negative regulation of zoospore formation
GO:0051276	chromosome organization
GO:0075243	oospore formation
GO:0075244	regulation of oospore formation
GO:0051274	beta-glucan biosynthetic process
GO:0075245	positive regulation of oospore formation
GO:0051275	beta-glucan catabolic process
GO:0075246	negative regulation of oospore formation
GO:0075236	obsolete positive regulation of zoospore movement on or near host
GO:0075237	obsolete obsolete negative regulation of zoospore movement on or near host
GO:0051289	protein homotetramerization
GO:0075239	zoospore formation
GO:1905463	negative regulation of DNA duplex unwinding
GO:1905464	positive regulation of DNA duplex unwinding
GO:1905465	regulation of G-quadruplex DNA unwinding
GO:1905455	positive regulation of myeloid progenitor cell differentiation
GO:1905456	regulation of lymphoid progenitor cell differentiation
GO:1905457	negative regulation of lymphoid progenitor cell differentiation
GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process
GO:0051280	negative regulation of release of sequestered calcium ion into cytosol
GO:0051283	negative regulation of sequestering of calcium ion
GO:0051284	positive regulation of sequestering of calcium ion
GO:0051281	positive regulation of release of sequestered calcium ion into cytosol
GO:0075230	obsolete spore movement on or near host
GO:0051282	regulation of sequestering of calcium ion
GO:0075231	obsolete modulation of spore movement on or near host
GO:0075232	obsolete positive regulation of spore movement on or near host
GO:0075233	obsolete negative regulation of spore movement on or near host
GO:0075234	obsolete zoospore movement on or near host
GO:0075235	obsolete modulation of zoospore movement on or near host
GO:0075269	positive regulation of aecium development
GO:1905466	negative regulation of G-quadruplex DNA unwinding
GO:1905467	positive regulation of G-quadruplex DNA unwinding
GO:1905468	obsolete regulation of clathrin-coated pit assembly
GO:0051290	protein heterotetramerization
GO:0051291	protein heterooligomerization
GO:0075260	regulation of spore-bearing organ development
GO:0051294	establishment of spindle orientation
GO:0075261	positive regulation of spore-bearing organ development
GO:0051295	establishment of meiotic spindle localization
GO:0075262	negative regulation of spore-bearing organ development
GO:0051292	nuclear pore complex assembly
GO:0075263	oogonium development
GO:0051293	establishment of spindle localization
GO:0075264	regulation of oogonium development
GO:0051298	centrosome duplication
GO:0075265	positive regulation of oogonium development
GO:0075266	negative regulation of oogonium development
GO:0051299	centrosome separation
GO:0051296	establishment of meiotic spindle orientation
GO:0075267	aecium development
GO:0075268	regulation of aecium development
GO:0075258	negative regulation of teliospore formation
GO:0075259	spore-bearing structure development
GO:1905477	positive regulation of protein localization to membrane
GO:1905478	regulation of glutamate-ammonia ligase activity
GO:1905479	negative regulation of glutamate-ammonia ligase activity
GO:0075250	negative regulation of aeciospore formation
GO:0075251	uredospore formation
GO:0075252	regulation of uredospore formation
GO:0075253	positive regulation of uredospore formation
GO:0075254	negative regulation of uredospore formation
GO:0075255	teliospore formation
GO:0075256	regulation of teliospore formation
GO:0075257	positive regulation of teliospore formation
GO:0002225	positive regulation of antimicrobial peptide production
GO:0002227	innate immune response in mucosa
GO:0002228	natural killer cell mediated immunity
GO:0002222	stimulatory killer cell immunoglobulin-like receptor signaling pathway
GO:0002223	stimulatory C-type lectin receptor signaling pathway
GO:0002224	toll-like receptor signaling pathway
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0002229	defense response to oomycetes
GO:0002236	detection of misfolded protein
GO:0002237	response to molecule of bacterial origin
GO:0002238	response to molecule of fungal origin
GO:0002239	response to oomycetes
GO:0002232	leukocyte chemotaxis involved in inflammatory response
GO:0002233	leukocyte chemotaxis involved in immune response
GO:0002234	detection of endoplasmic reticulum overloading
GO:0002235	detection of unfolded protein
GO:0002230	positive regulation of defense response to virus by host
GO:0002231	detection of oomycetes
GO:0002203	proteolysis by cytosolic proteases associated with antigen processing and presentation
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response
GO:0002205	somatic hypermutation of immunoglobulin genes involved in immune response
GO:0002206	gene conversion of immunoglobulin genes
GO:0002200	somatic diversification of immune receptors
GO:0002201	somatic diversification of DSCAM-based immune receptors
GO:0002202	somatic diversification of variable lymphocyte receptors of jawless fish
GO:0002207	gene conversion of immunoglobulin genes involved in immune response
GO:0002208	somatic diversification of immunoglobulins involved in immune response
GO:0002209	behavioral defense response
GO:0002210	behavioral response to wounding
GO:0002211	behavioral defense response to insect
GO:0002212	behavioral defense response to nematode
GO:0051203	peptidyl-aspartic acid reduction to form L-aspartyl aldehyde
GO:0051202	phytochromobilin metabolic process
GO:0051208	sequestering of calcium ion
GO:0051205	protein insertion into membrane
GO:0051206	silicate metabolic process
GO:0051209	release of sequestered calcium ion into cytosol
GO:0051218	tungsten incorporation via L-selenocysteinyl tungsten bis(molybdopterin guanine dinucleotide)
GO:0051216	cartilage development
GO:0051217	molybdenum incorporation via L-aspartyl molybdenum bis(molybdopterin guanine dinucleotide)
GO:0051210	isotropic cell growth
GO:0051211	anisotropic cell growth
GO:0051223	regulation of protein transport
GO:0051224	negative regulation of protein transport
GO:0051229	meiotic spindle disassembly
GO:0051228	mitotic spindle disassembly
GO:0051221	tungsten incorporation into metallo-sulfur cluster
GO:0051222	positive regulation of protein transport
GO:0051220	cytoplasmic sequestering of protein
GO:0002287	alpha-beta T cell activation involved in immune response
GO:0002288	NK T cell activation involved in immune response
GO:0002289	NK T cell proliferation involved in immune response
GO:0002283	neutrophil activation involved in immune response
GO:0002284	myeloid dendritic cell differentiation involved in immune response
GO:0002285	lymphocyte activation involved in immune response
GO:0002286	T cell activation involved in immune response
GO:0002280	monocyte activation involved in immune response
GO:0002281	macrophage activation involved in immune response
GO:0002282	microglial cell activation involved in immune response
GO:0002298	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
GO:0002299	alpha-beta intraepithelial T cell differentiation
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response
GO:0002295	T-helper cell lineage commitment
GO:0002296	T-helper 1 cell lineage commitment
GO:0002297	T-helper 2 cell lineage commitment
GO:0002290	gamma-delta T cell activation involved in immune response
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0002292	T cell differentiation involved in immune response
GO:0002293	alpha-beta T cell differentiation involved in immune response
GO:0002269	leukocyte activation involved in inflammatory response
GO:0002265	astrocyte activation involved in immune response
GO:0002266	follicular dendritic cell activation
GO:0002267	follicular dendritic cell activation involved in immune response
GO:0002268	follicular dendritic cell differentiation
GO:0002261	mucosal lymphocyte homeostasis
GO:0002262	myeloid cell homeostasis
GO:0002263	cell activation involved in immune response
GO:0002264	endothelial cell activation involved in immune response
GO:0002260	lymphocyte homeostasis
GO:0002276	basophil activation involved in immune response
GO:0002277	myeloid dendritic cell activation involved in immune response
GO:0002278	eosinophil activation involved in immune response
GO:0002279	mast cell activation involved in immune response
GO:0002272	plasmacytoid dendritic cell differentiation involved in immune response
GO:0002273	plasmacytoid dendritic cell differentiation
GO:0002274	myeloid leukocyte activation
GO:0002275	myeloid cell activation involved in immune response
GO:0002270	plasmacytoid dendritic cell activation
GO:0002271	plasmacytoid dendritic cell activation involved in immune response
GO:0002247	clearance of damaged tissue involved in inflammatory response wound healing
GO:0002249	lymphocyte anergy
GO:0002243	detection of parasitic plant
GO:0002244	hematopoietic progenitor cell differentiation
GO:0002246	wound healing involved in inflammatory response
GO:0002240	response to molecule of oomycetes origin
GO:0002241	response to parasitic plant
GO:0002242	defense response to parasitic plant
GO:0002258	positive regulation of kinin cascade
GO:0002259	endothelial cell activation within high endothelial venule involved in immune response
GO:0002254	kinin cascade
GO:0002255	tissue kallikrein-kinin cascade
GO:0002256	regulation of kinin cascade
GO:0002257	negative regulation of kinin cascade
GO:0002250	adaptive immune response
GO:0002251	organ or tissue specific immune response
GO:0002252	immune effector process
GO:0002253	activation of immune response
GO:0075324	negative regulation of oomycete sporangium development
GO:0051357	obsolete peptide cross-linking via 3-(2-methylthio)ethyl-6-(4-hydroxybenzylidene)-5-iminopiperazin-2-one
GO:0051358	obsolete peptide cross-linking via 2-imino-glutamic acid 5-imidazolinone glycine
GO:0051355	proprioception involved in equilibrioception
GO:0051356	visual perception involved in equilibrioception
GO:0075328	formation of arbuscule for nutrient acquisition
GO:0075329	regulation of arbuscule formation for nutrient acquisition from host
GO:0051359	obsolete peptide cross-linking via 2-imino-methionine 5-imidazolinone glycine
GO:2000742	regulation of anterior head development
GO:1905766	positive regulation of protection from non-homologous end joining at telomere
GO:1905767	regulation of double-stranded telomeric DNA binding
GO:1905768	negative regulation of double-stranded telomeric DNA binding
GO:1905769	positive regulation of double-stranded telomeric DNA binding
GO:2000740	negative regulation of mesenchymal stem cell differentiation
GO:0051350	negative regulation of lyase activity
GO:0075320	negative regulation of ascus development
GO:0051354	negative regulation of oxidoreductase activity
GO:0075321	oomycete sporangium development
GO:0051351	positive regulation of ligase activity
GO:0075322	regulation of oomycete sporangium development
GO:0051352	negative regulation of ligase activity
GO:0075323	positive regulation of oomycete sporangium development
GO:0075313	basidium development
GO:0051368	peptidyl-threonine octanoylation
GO:0051369	peptidyl-threonine decanoylation
GO:0075314	regulation of basidium development
GO:0075315	positive regulation of basidium development
GO:0051366	protein decanoylation
GO:0051367	peptidyl-serine decanoylation
GO:0075316	negative regulation of basidium development
GO:0075317	ascus development
GO:0075318	regulation of ascus development
GO:0075319	positive regulation of ascus development
GO:2000753	positive regulation of glucosylceramide catabolic process
GO:2000754	regulation of sphingomyelin catabolic process
GO:2000755	positive regulation of sphingomyelin catabolic process
GO:2000757	negative regulation of peptidyl-lysine acetylation
GO:2000750	negative regulation of establishment or maintenance of bipolar cell polarity regulating cell shape
GO:2000752	regulation of glucosylceramide catabolic process
GO:0051360	obsolete peptide cross-linking via L-asparagine 5-imidazolinone glycine
GO:0051361	obsolete peptide cross-linking via L-lysine 5-imidazolinone glycine
GO:0051364	N-terminal peptidyl-proline N-formylation
GO:0051365	cellular response to potassium ion starvation
GO:0075310	regulation of sporangium development
GO:0075311	positive regulation of sporangium development
GO:0051362	obsolete peptide cross-linking via 2-tetrahydropyridinyl-5-imidazolinone glycine
GO:0051363	peptidoglycan-protein cross-linking via L-alanyl-pentaglycyl-murein
GO:0075312	negative regulation of sporangium development
GO:0075346	obsolete modification by symbiont of host protein by ubiquitination
GO:2000764	positive regulation of semaphorin-plexin signaling pathway involved in outflow tract morphogenesis
GO:2000765	regulation of cytoplasmic translation
GO:2000768	positive regulation of nephron tubule epithelial cell differentiation
GO:2000769	regulation of establishment or maintenance of cell polarity regulating cell shape
GO:2000762	regulation of phenylpropanoid metabolic process
GO:2000763	positive regulation of transcription from RNA polymerase II promoter involved in norepinephrine biosynthetic process
GO:0075342	disruption by symbiont of host cell PML body
GO:0075343	modulation by symbiont of abscisic acid levels in host
GO:0075344	obsolete modulation by symbiont of host protein levels
GO:0075345	obsolete modification by symbiont of host protein
GO:0075335	obsolete positive regulation of symbiont adenylate cyclase-mediated signal transduction in response to host
GO:0075336	obsolete negative regulation of symbiont adenylate cyclase-mediated signal transduction in response to host
GO:0051388	positive regulation of neurotrophin TRK receptor signaling pathway
GO:0075337	obsolete positive regulation of growth or development of symbiont on or near host surface
GO:0075339	obsolete positive regulation of growth or development of symbiont during interaction with host
GO:2000775	obsolete histone H3-S10 phosphorylation involved in chromosome condensation
GO:2000776	obsolete histone H4 acetylation involved in response to DNA damage stimulus
GO:2000777	positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia
GO:2000779	regulation of double-strand break repair
GO:0051383	kinetochore organization
GO:0075330	positive regulation of arbuscule formation for nutrient acquisition from host
GO:0051386	regulation of neurotrophin TRK receptor signaling pathway
GO:0075331	negative regulation of arbuscule formation for nutrient acquisition from host
GO:0051387	negative regulation of neurotrophin TRK receptor signaling pathway
GO:0075332	obsolete modulation by host of symbiont adenylate cyclase-mediated signal transduction
GO:0051384	response to glucocorticoid
GO:0075333	obsolete positive regulation by host of symbiont adenylate cyclase-mediated signal transduction
GO:0051385	response to mineralocorticoid
GO:0075334	obsolete modulation of symbiont adenylate cyclase-mediated signal transduction in response to host
GO:2000703	negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation
GO:0051394	regulation of nerve growth factor receptor activity
GO:0051391	tRNA acetylation
GO:0051395	negative regulation of nerve growth factor receptor activity
GO:0051396	positive regulation of nerve growth factor receptor activity
GO:2000733	regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation
GO:2000730	regulation of termination of RNA polymerase I transcription
GO:0002346	B cell positive selection
GO:0002347	response to tumor cell
GO:0002348	central B cell positive selection
GO:0002349	histamine production involved in inflammatory response
GO:0002342	central B cell deletion
GO:0002343	peripheral B cell selection
GO:0002344	B cell affinity maturation
GO:0002345	peripheral B cell receptor editing
GO:0002340	central B cell selection
GO:0002341	central B cell anergy
GO:0002357	defense response to tumor cell
GO:0002358	B cell homeostatic proliferation
GO:0002359	B-1 B cell proliferation
GO:0002353	plasma kallikrein-kinin cascade
GO:0002354	central B cell negative selection
GO:0002355	detection of tumor cell
GO:0002356	peripheral B cell negative selection
GO:0002350	peripheral B cell positive selection
GO:0002351	serotonin production involved in inflammatory response
GO:0002352	B cell negative selection
GO:0016999	antibiotic metabolic process
GO:0002324	natural killer cell proliferation involved in immune response
GO:0002325	natural killer cell differentiation involved in immune response
GO:0002326	B cell lineage commitment
GO:0002327	immature B cell differentiation
GO:0002320	lymphoid progenitor cell differentiation
GO:0002321	natural killer cell progenitor differentiation
GO:0002322	B cell proliferation involved in immune response
GO:0002323	natural killer cell activation involved in immune response
GO:1905701	positive regulation of xenobiotic detoxification by transmembrane export across the plasma membrane
GO:1905703	negative regulation of inhibitory synapse assembly
GO:0002328	pro-B cell differentiation
GO:0002329	pre-B cell differentiation
GO:0051302	regulation of cell division
GO:0002335	mature B cell differentiation
GO:0002336	B-1 B cell lineage commitment
GO:0051303	establishment of chromosome localization
GO:0051300	spindle pole body organization
GO:0002337	B-1a B cell differentiation
GO:0002338	B-1b B cell differentiation
GO:0051301	cell division
GO:0051306	mitotic sister chromatid separation
GO:0002331	pre-B cell allelic exclusion
GO:0051307	meiotic chromosome separation
GO:0002332	transitional stage B cell differentiation
GO:0002333	transitional one stage B cell differentiation
GO:0051304	chromosome separation
GO:0002334	transitional two stage B cell differentiation
GO:0051305	chromosome movement towards spindle pole
GO:0051308	male meiosis chromosome separation
GO:0051309	female meiosis chromosome separation
GO:0002330	pre-B cell receptor expression
GO:1905710	positive regulation of membrane permeability
GO:0016973	poly(A)+ mRNA export from nucleus
GO:0002339	B cell selection
GO:0002302	CD8-positive, alpha-beta T cell differentiation involved in immune response
GO:0002303	gamma-delta T cell differentiation involved in immune response
GO:0002304	gamma-delta intraepithelial T cell differentiation
GO:0051311	meiotic metaphase plate congression
GO:0051312	obsolete chromosome decondensation
GO:0002305	CD8-positive, gamma-delta intraepithelial T cell differentiation
GO:0051318	G1 phase
GO:0002300	CD8-positive, alpha-beta intraepithelial T cell differentiation
GO:0051315	attachment of mitotic spindle microtubules to kinetochore
GO:0002301	CD4-positive, alpha-beta intraepithelial T cell differentiation
GO:0051316	attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation
GO:0051319	G2 phase
GO:2000789	positive regulation of venous endothelial cell fate commitment
GO:1905722	regulation of trypanothione biosynthetic process
GO:1905723	negative regulation of trypanothione biosynthetic process
GO:1905724	positive regulation of trypanothione biosynthetic process
GO:0002306	CD4-positive gamma-delta intraepithelial T cell differentiation
GO:0051310	metaphase plate congression
GO:0002307	CD8-positive, alpha-beta regulatory T cell differentiation
GO:0002308	CD8-positive, alpha-beta cytotoxic T cell differentiation
GO:0002309	T cell proliferation involved in immune response
GO:0002313	mature B cell differentiation involved in immune response
GO:0051324	prophase
GO:0051325	interphase
GO:0002314	germinal center B cell differentiation
GO:0002315	marginal zone B cell differentiation
GO:0051322	anaphase
GO:0002316	follicular B cell differentiation
GO:0051323	metaphase
GO:0051328	meiotic interphase
GO:0051329	mitotic interphase
GO:0002310	alpha-beta T cell proliferation involved in immune response
GO:0051326	telophase
GO:0002311	gamma-delta T cell proliferation involved in immune response
GO:0002312	B cell activation involved in immune response
GO:0051327	meiotic M phase
GO:0051320	S phase
GO:0002317	plasma cell differentiation
GO:0002318	myeloid progenitor cell differentiation
GO:0002319	memory B cell differentiation
GO:0075302	regulation of basidiospore formation
GO:0075303	positive regulation of basidiospore formation
GO:0051336	regulation of hydrolase activity
GO:0075304	negative regulation of basidiospore formation
GO:0075305	obsolete modulation of growth or development of symbiont on or near host
GO:0051339	regulation of lyase activity
GO:0075307	positive regulation of conidium formation
GO:0051337	amitosis
GO:0075308	negative regulation of conidium formation
GO:0075309	obsolete negative regulation of growth or development of symbiont on or near host surface
GO:0051338	regulation of transferase activity
GO:0016926	protein desumoylation
GO:1905741	calcium export from the mitochondrion involved in positive regulation of presynaptic cytosolic calcium concentration
GO:1905743	calcium import into the mitochondrion involved in negative regulation of presynaptic cytosolic calcium concentration
GO:1905748	hard palate morphogenesis
GO:1905749	regulation of endosome to plasma membrane protein transport
GO:0051331	meiotic G2 phase
GO:0051332	meiotic S phase
GO:0075300	negative regulation of zygospore formation
GO:0075301	obsolete cell differentiation involved in spore germination
GO:0051330	meiotic G1 phase
GO:0051346	negative regulation of hydrolase activity
GO:0051347	positive regulation of transferase activity
GO:0051344	negative regulation of cyclic-nucleotide phosphodiesterase activity
GO:0051345	positive regulation of hydrolase activity
GO:0051348	negative regulation of transferase activity
GO:0051349	positive regulation of lyase activity
GO:1905752	regulation of argininosuccinate synthase activity
GO:1905755	protein localization to cytoplasmic microtubule
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity
GO:0051343	positive regulation of cyclic-nucleotide phosphodiesterase activity
GO:0051340	regulation of ligase activity
GO:0051341	regulation of oxidoreductase activity
GO:0002387	immune response in gut-associated lymphoid tissue
GO:0002388	immune response in Peyer's patch
GO:0002389	tolerance induction in Peyer's patch
GO:0002382	regulation of tissue kallikrein-kinin cascade
GO:0002383	immune response in brain or nervous system
GO:0002384	hepatic immune response
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response
GO:0002397	MHC class I protein complex assembly
GO:0002398	MHC class Ib protein complex assembly
GO:0002399	MHC class II protein complex assembly
GO:0002393	lysosomal enzyme production involved in inflammatory response
GO:0002394	tolerance induction in gut-associated lymphoid tissue
GO:0002395	immune response in nasopharyngeal-associated lymphoid tissue
GO:0002396	MHC protein complex assembly
GO:0002391	platelet activating factor production involved in inflammatory response
GO:0002368	B cell cytokine production
GO:0002369	T cell cytokine production
GO:0002364	NK T cell lineage commitment
GO:0002365	gamma-delta T cell lineage commitment
GO:0002366	leukocyte activation involved in immune response
GO:0002367	cytokine production involved in immune response
GO:0002360	T cell lineage commitment
GO:0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
GO:0002362	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment
GO:0002363	alpha-beta T cell lineage commitment
GO:0002376	immune system process
GO:0002371	dendritic cell cytokine production
GO:0002372	myeloid dendritic cell cytokine production
GO:0002373	plasmacytoid dendritic cell cytokine production
GO:0002370	natural killer cell cytokine production
GO:0110104	mRNA alternative polyadenylation
GO:0110102	ribulose bisphosphate carboxylase complex assembly
GO:0110100	spindle pole body separation
GO:0110101	L-valine transmembrane import into vacuole
GO:0110108	positive regulation of imaginal disc-derived wing vein specification
GO:0110116	regulation of compound eye photoreceptor cell differentiation
GO:0110113	positive regulation of lipid transporter activity
GO:0110114	negative regulation of lipid transporter activity
GO:0110119	positive regulation of very-low-density lipoprotein particle clearance
GO:0110117	positive regulation of compound eye photoreceptor cell differentiation
GO:0110118	negative regulation of compound eye photoreceptor cell differentiation
GO:0110127	phloem unloading
GO:0110128	phloem sucrose unloading
GO:0051478	mannosylglycerate metabolic process
GO:0002500	proteolysis within lysosome associated with antigen processing and presentation
GO:0051479	mannosylglycerate biosynthetic process
GO:0002501	peptide antigen assembly with MHC protein complex
GO:0051476	phosphoenolpyruvate-dependent mannosylglycerate phosphotransferase system
GO:0002502	peptide antigen assembly with MHC class I protein complex
GO:0002503	peptide antigen assembly with MHC class II protein complex
GO:2000621	regulation of DNA replication termination
GO:2000627	positive regulation of miRNA catabolic process
GO:2000628	regulation of miRNA metabolic process
GO:1905648	regulation of shell calcification
GO:2000620	positive regulation of histone H4-K16 acetylation
GO:1905649	negative regulation of shell calcification
GO:0002508	central tolerance induction
GO:0002509	central tolerance induction to self antigen
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0051475	glucosylglycerol transmembrane transport
GO:0002505	antigen processing and presentation of polysaccharide antigen via MHC class II
GO:0051472	glucosylglycerol metabolic process
GO:0051473	glucosylglycerol biosynthetic process
GO:0002507	tolerance induction
GO:0051489	regulation of filopodium assembly
GO:0002511	central B cell receptor editing
GO:0002512	central T cell tolerance induction
GO:0002513	tolerance induction to self antigen
GO:0002514	B cell tolerance induction
GO:0002510	central B cell tolerance induction
GO:2000632	negative regulation of pre-miRNA processing
GO:2000634	regulation of primary miRNA processing
GO:2000636	positive regulation of primary miRNA processing
GO:2000637	positive regulation of miRNA-mediated gene silencing
GO:2000638	regulation of SREBP signaling pathway
GO:2000639	negative regulation of SREBP signaling pathway
GO:2000630	positive regulation of miRNA metabolic process
GO:2000631	regulation of pre-miRNA processing
GO:0002519	natural killer cell tolerance induction
GO:0051481	negative regulation of cytosolic calcium ion concentration
GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway
GO:0051480	regulation of cytosolic calcium ion concentration
GO:0002515	B cell anergy
GO:0051485	terpenoid biosynthetic process, mevalonate-dependent
GO:0002516	B cell deletion
GO:0051486	isopentenyl diphosphate biosynthetic process, mevalonate pathway involved in terpenoid biosynthetic process
GO:0002517	T cell tolerance induction
GO:0051483	terpenoid biosynthetic process, mevalonate-independent
GO:0051484	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process
GO:0002518	lymphocyte chemotaxis across high endothelial venule
GO:2000643	positive regulation of early endosome to late endosome transport
GO:2000644	regulation of receptor catabolic process
GO:2000645	negative regulation of receptor catabolic process
GO:2000646	positive regulation of receptor catabolic process
GO:2000647	negative regulation of stem cell proliferation
GO:1905672	negative regulation of lysosome organization
GO:2000648	positive regulation of stem cell proliferation
GO:1905673	positive regulation of lysosome organization
GO:2000649	regulation of sodium ion transmembrane transporter activity
GO:1905674	regulation of adaptive immune memory response
GO:0051492	regulation of stress fiber assembly
GO:0051493	regulation of cytoskeleton organization
GO:0051490	negative regulation of filopodium assembly
GO:0051491	positive regulation of filopodium assembly
GO:0051496	positive regulation of stress fiber assembly
GO:0051497	negative regulation of stress fiber assembly
GO:0051494	negative regulation of cytoskeleton organization
GO:0051495	positive regulation of cytoskeleton organization
GO:0099402	plant organ development
GO:1905680	regulation of innate immunity memory response
GO:2000657	negative regulation of apolipoprotein binding
GO:1905681	negative regulation of innate immunity memory response
GO:2000658	positive regulation of apolipoprotein binding
GO:1905682	positive regulation of innate immunity memory response
GO:2000659	regulation of interleukin-1-mediated signaling pathway
GO:1905684	regulation of plasma membrane repair
GO:1905675	negative regulation of adaptive immune memory response
GO:0099403	maintenance of mitotic sister chromatid cohesion, telomeric
GO:0099404	mitotic sister chromatid cohesion, telomeric
GO:1905690	nucleus disassembly
GO:1905691	lipid droplet disassembly
GO:1905686	positive regulation of plasma membrane repair
GO:2000607	negative regulation of cell proliferation involved in mesonephros development
GO:2000605	positive regulation of secondary growth
GO:2000613	negative regulation of thyroid-stimulating hormone secretion
GO:0002467	germinal center formation
GO:0002468	dendritic cell antigen processing and presentation
GO:0002469	myeloid dendritic cell antigen processing and presentation
GO:0002463	central tolerance induction to nonself antigen
GO:0002464	peripheral tolerance induction to nonself antigen
GO:0002465	peripheral tolerance induction
GO:0002466	peripheral tolerance induction to self antigen
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002461	tolerance induction dependent upon immune response
GO:0002462	tolerance induction to nonself antigen
GO:0002478	antigen processing and presentation of exogenous peptide antigen
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
GO:0051402	neuron apoptotic process
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
GO:0002475	antigen processing and presentation via MHC class Ib
GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib
GO:0051403	stress-activated MAPK cascade
GO:0002477	antigen processing and presentation of exogenous peptide antigen via MHC class Ib
GO:0051409	response to nitrosative stress
GO:0002470	plasmacytoid dendritic cell antigen processing and presentation
GO:0002471	monocyte antigen processing and presentation
GO:0002472	macrophage antigen processing and presentation
GO:0002473	non-professional antigen presenting cell antigen processing and presentation
GO:0051412	response to corticosterone
GO:0002445	type II hypersensitivity
GO:0002446	neutrophil mediated immunity
GO:0051413	response to cortisone
GO:0051410	detoxification of nitrogen compound
GO:0002447	eosinophil mediated immunity
GO:0002448	mast cell mediated immunity
GO:0002441	histamine secretion involved in inflammatory response
GO:0002442	serotonin secretion involved in inflammatory response
GO:0051417	microtubule nucleation by spindle pole body
GO:0002443	leukocyte mediated immunity
GO:0051414	response to cortisol
GO:0051415	microtubule nucleation by interphase microtubule organizing center
GO:0002444	myeloid leukocyte mediated immunity
GO:0051418	microtubule nucleation by microtubule organizing center
GO:0002440	production of molecular mediator of immune response
GO:0002449	lymphocyte mediated immunity
GO:0002456	T cell mediated immunity
GO:0051423	positive regulation of endo-1,4-beta-xylanase activity
GO:0002457	T cell antigen processing and presentation
